Date,RSI,RSI_2,RSI_above_70,RSI_below_30,RSI_slope,RSI_divergence,RSI_cross_down_70,RSI_cross_up_30,SMA_50,EMA_50,Bollinger_Upper,Bollinger_Lower,Bollinger_Middle,Momentum,Volatility,Bollinger_Strong,MACD,MACD_Signal,MACD_Hist,ADX,VWAP,ATR,Bollinger_2pct_Lower,RSI_2_above_90,RSI_2_below_10,RSI_2_cross_90,RSI_2_cross_10,Stochastic_K,Stochastic_D,Stoch_RSI,CCI,ROC,Williams_%R,TRIX,TSI,RSI_cross_50,Volatility_Breakout,Short_Momentum,Trend_5D,Trend_10D,Volume_Trend,RSI_Delta,MACD_Delta,Bollinger_Width,Momentum_Change,Volatility_Change,Volume,double_top,head_and_shoulders,cup_and_handle,triple_top,triple_bottm,bullish_engulfing,bearish_engulfing,Close,Target_Tomorrow,Target_3_Days,Target_Next_Week,Predicted_Tomorrow,Predicted_3_Days,Predicted_Next_Week,Predicted_Direction_Tomorrow,Predicted_Direction_3_Days,Predicted_Direction_Next_Week,Actual_Direction_Tomorrow,Actual_Direction_3_Days,Actual_Direction_Next_Week
2021-02-23,-0.9640224893573115,0.8197350455210568,0,0,-1.086635015903724,0,0,0,45.84825065612793,46.02506235213956,54.980698646513716,44.11674817660641,49.54872341156006,-0.25043480995615225,-0.1453230354396615,0,1.0171412089529284,1.7669599544954597,-0.7498187455425314,13.779392938435564,24.713960338383178,0.2051290185286231,0,0,1,0,0,37.02828495400443,34.4467604368218,0.0,-140.79881014848752,-8.031858614212666,-62.97171504599557,0.5598766951012689,12.481679546351142,0,0,-0.09772183401434653,-0.12226403007499842,-0.10730257777690033,1.247537884768947,-1.086635015903724,-0.4266887652271194,10.863950469907309,1.3432141227046437,0.48014135338061553,-0.21040998743872238,0.0,0.0,1.0,0.0,0.0,0,0,46.22576141357422,47.33993148803711,43.03279495239258,44.54246139526367,46.03196923434734,45.92120763659477,45.76882642507553,0,0,0,1,0,0
2021-02-24,-0.6392301703487901,45.54780989406163,0,0,3.840086372404663,0,0,0,46.01156501770019,46.07662584766496,54.93906777590303,43.904195468725874,49.42163162231445,0.581394024745324,-0.11737852346186911,0,0.7601292055674378,1.5655938047098554,-0.8054645991424176,15.48162127066078,24.749346168862395,0.2942368443309097,0,0,0,0,0,46.108517759425446,28.14628841976226,0.1586966877258798,-88.93109857818251,-6.7901240131561655,-53.891482240574554,0.5009069333687824,9.478559619467958,0,0,-0.0636328427078735,-0.08841826686569365,-0.085360098566861,0.16091815207176752,3.840086372404663,-0.2570120033854906,11.034872307177153,0.5867638038669407,0.17262478894446331,-0.7743808623127311,0.0,0.0,0.0,0.0,0.0,0,0,47.33993148803711,42.396121978759766,46.78525924682617,40.67905807495117,46.71233266592026,45.87137424945831,45.12108039855957,0,0,0,0,0,0
2021-02-25,-1.59355269259872,9.105616110798564,0,0,-11.283151411208877,1,0,0,46.08150161743164,45.93229236260985,55.41574570186888,43.081210551182885,49.24847812652588,-2.714431654624476,0.09510716284739677,0,0.1557261172111737,1.2836202672101191,-1.1278941499989454,17.540518882762303,24.802522787142852,0.5256790492595357,1,0,1,0,1,5.817594211211168,29.651465641547006,0.0,-145.69552586624252,-18.125937474377267,-94.18240578878883,0.419698685588714,2.3841496503391735,0,0,-0.09100308165628512,-0.17247236142515177,-0.1750353586316109,1.1577829803451842,-11.283151411208877,-0.6044030883562641,12.334535150685994,-2.322518272135665,1.37417599511855,0.07454057166047334,0.0,0.0,0.0,0.0,0.0,0,0,42.396121978759766,43.03279495239258,44.54246139526367,38.66777038574219,41.96658515930176,41.46046817302704,41.00737178325653,0,0,0,1,1,0
2021-02-26,-1.4153263538313872,24.636102161939746,0,0,2.1072066506783855,0,0,0,46.14757987976074,45.818586581817016,55.74340417029305,42.4033869063671,49.073395538330075,0.3216131547396906,0.25949637961277394,0,-0.2687949953389577,0.9731372147003037,-1.2419322100392614,19.472907491436168,24.850751780614413,0.5681276249785809,1,0,0,0,0,11.59704014555526,21.17438403873062,0.06659795367821233,-143.56846539888747,-16.857692657212546,-88.40295985444473,0.3292988089689639,-2.4104084460962536,0,0,-0.06907331244616388,-0.14882648509769592,-0.1759488416900984,1.2416435703790647,2.1072066506783855,-0.42452111255013136,13.340017263925944,2.1403545912896225,1.0610189384208861,-0.13610735289185288,0.0,0.0,0.0,0.0,0.0,0,0,43.03279495239258,46.78525924682617,40.67905807495117,40.39931106567383,42.64465942978859,42.30904120206833,42.0031840801239,0,0,0,1,0,0
2021-03-01,-0.5082392575878815,74.9961076045561,0,0,10.724677256845517,0,0,0,46.26401252746582,45.85649531377816,55.4968026344135,42.964944344346264,49.23087348937988,2.016750106705539,0.12736810106343643,0,-0.2989919347286687,0.7187113848145092,-1.017703319543178,20.198100150820995,24.887756492180333,0.6500290211856415,0,0,0,0,0,41.97578119704117,19.79680518460253,0.4055497878209316,-77.67358903470566,-8.962936196802277,-58.02421880295882,0.25156127793292904,-2.7835719847988365,0,0,-0.011716794337801373,0.0031025125501551454,-0.11906271155700565,0.007325885901813267,10.724677256845517,-0.03019693938971102,12.531858290067234,1.1952466173055813,-0.8696122902888727,-0.6954796259065348,0.0,0.0,0.0,0.0,0.0,0,0,46.78525924682617,44.54246139526367,38.66777038574219,36.945884704589844,46.13332086801529,45.23182702064514,44.43316030502319,0,0,0,0,0,0
2021-03-02,-0.9117884825438717,41.69281413601778,0,0,-4.771245465651866,1,0,0,46.32184288024902,45.80496457187564,55.64527337643647,42.586405777005915,49.11583957672119,-1.2449543381826826,0.2135303971933392,0,-0.4981558391076035,0.47533794003008667,-0.9734937791376902,20.777929900521453,24.925303604399215,0.6360695195380691,0,0,0,0,0,23.81881291768534,25.79721142009392,0.2547552824948561,-93.17203063345359,-14.703967178175741,-76.18118708231465,0.17589968669975334,-4.8205441298238005,0,0,0.05062584303298334,-0.03641476022969836,-0.15422657496479908,-0.23877379377623265,-4.771245465651866,-0.19916390437893483,13.058867599430556,-2.298468707049748,0.551681923603764,-0.5624190515148829,0.0,0.0,0.0,0.0,0.0,0,1,44.54246139526367,40.67905807495117,40.39931106567383,41.29642868041992,44.04985648393631,43.45962917804718,42.91827929019928,0,0,0,0,0,0
2021-03-03,-1.4812611841206933,16.480131743123465,0,0,-6.7329928474208955,0,0,0,46.285331115722656,45.60394863081977,56.23553495758639,41.153044220270054,48.69428958892822,-2.126639897897902,0.5443784732405682,0,-0.9567106633712115,0.18892821934982704,-1.1456388827210384,22.256140579498258,24.971106610405513,0.7134782905875078,1,0,0,0,0,0.3259556082440914,22.040183240990192,0.041960042111614776,-147.73862826229134,-23.403867598759522,-99.67404439175591,0.08874339158675106,-9.142681524497323,0,0,-0.054696351469742055,-0.1407030640669421,-0.21668060986514404,0.8818159652801483,-6.7329928474208955,-0.45855482426360794,15.082490737316334,-0.6209672932136495,2.144835836590262,0.028305979993728782,0.0,0.0,0.0,0.0,0.0,0,0,40.67905807495117,38.66777038574219,36.945884704589844,40.944332122802734,40.33380702137947,40.025824308395386,39.682261765003204,0,0,0,0,0,1
2021-03-04,-1.7292714503003155,10.112746681603312,0,0,-2.932276373653508,0,0,0,46.21785415649414,45.33194164081673,56.97553119074849,39.42525158513042,48.200391387939455,-1.1190019265621902,0.9478445059631521,0,-1.4655191799434633,-0.141961260508831,-1.3235579194346323,24.28313161121957,25.045010216791432,0.8451253531922813,1,0,0,0,0,9.405373159358323,11.183380561762581,0.0,-169.1703087161698,-26.577536190890854,-90.59462684064168,-0.010757592427177486,-13.63527149197728,0,0,-0.17350526622623474,-0.0879408639046152,-0.24524585686637013,0.816870205894227,-2.932276373653508,-0.5088085165722518,17.550279605618073,0.7106788186201942,2.6176527770332862,1.5115681422610125,0.0,0.0,0.0,0.0,0.0,0,0,38.66777038574219,40.39931106567383,41.29642868041992,43.785213470458984,38.37317410111427,38.06343746185303,37.68155616521835,0,0,0,1,1,1
2021-03-05,-1.340877857299113,46.02196766372954,0,0,4.5920573127040925,0,0,0,46.18814308166504,45.13850514767387,57.08247602298519,38.331958028528476,47.70721702575683,0.9172726567323475,1.144074996863827,0,-1.7093286565802401,-0.4554347397231128,-1.2538939168571273,26.308483979887292,25.109297406714045,0.95584764355739,0,0,0,0,0,23.70350684952151,11.14494520570797,0.1463480513808098,-145.1043085310737,-22.206744198636553,-76.29649315047848,-0.10730654568175922,-15.530982242585129,0,0,-0.09301574721756167,-0.06119713789523051,-0.20091586806194028,0.6083459456980371,4.5920573127040925,-0.24380947663677688,18.750517994456715,1.4356896080867139,1.2683380989387767,0.8059402075376016,0.0,0.0,0.0,0.0,0.0,0,0,40.39931106567383,36.945884704589844,40.944332122802734,42.695159912109375,39.93437650799751,39.33134162425995,38.68949842453003,0,0,0,0,1,1
2021-03-08,-1.7592593318247598,17.745036689969808,0,0,-4.946610202165381,1,0,0,46.08275573730469,44.817225914611754,57.41988428529905,36.61028462949588,47.015084457397464,-1.9035931590475477,1.4807202908054418,0,-2.1563549516205356,-0.7956187821025975,-1.360736169517938,28.092131996209194,25.143897753834683,1.0276973300440502,1,0,0,0,0,4.770600279150678,12.626493429343498,0.0,-139.08012484049095,-27.885525143160212,-95.22939972084932,-0.21188802482885638,-18.945701351531994,0,0,-0.09177138181230637,-0.21030928759690082,-0.2078592622509292,0.7630434262328432,-4.946610202165381,-0.44702629504029545,20.80959965580317,-1.9877537676810917,2.1825816360233,0.05929771569046558,0.0,0.0,0.0,0.0,0.0,0,0,36.945884704589844,41.29642868041992,43.785213470458984,44.06013488769531,36.60760724544525,36.275435745716095,35.87783086299896,0,0,0,1,1,1
