Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2022-05-04,322.9417419433594,323.61780561522386,307.5491087137809,312.8596023117677,116083400
2022-05-05,306.67706298828125,318.6795997985255,303.3653378434027,318.60122904114235,154607400
2022-05-06,303.00286865234375,308.7248917511313,298.946486066283,304.6685390661658,139572800
2022-05-09,291.1472473144531,303.10080627201194,289.7461420148226,297.34939131248893,113387300
2022-05-10,294.68438720703125,299.5833827123957,290.5790265814482,298.3586338360546,124124600
2022-05-11,285.94451904296875,297.9470560571922,285.0725135349923,292.4111980267685,140326100
2022-05-12,285.2685241699219,289.77560636065374,279.1839796580377,281.64328515864685,120910900
2022-05-13,295.840576171875,296.8791609434838,288.1393388245716,289.74622388319585,83684900
2022-05-16,292.41119384765625,296.1540329209836,291.1276596467707,294.08664163869713,59190400
2022-05-17,299.98504638671875,300.3671524142692,294.4785513780635,298.2997910601071,62715300
2022-05-18,285.25872802734375,296.1442818170421,283.99477879963905,295.44863281932385,79477100
2022-05-19,283.73016357421875,288.4430239793982,281.77056569639086,283.44604341071897,79920700
2022-05-20,282.848388671875,287.8649551317849,274.5494893435265,287.208506498754,91764200
2022-05-23,287.5514221191406,287.93352818168177,281.48646389944696,283.896761074138,63648400
2022-05-24,281.4374694824219,283.0247391588451,276.54828179250933,282.3095049892263,73491100
2022-05-25,285.3763122558594,287.46328924605154,279.7326595388436,279.93840898966477,67144500
2022-05-26,293.28326416015625,294.8411711096546,284.28871520851135,284.57286533213585,59462200
2022-05-27,302.8559265136719,303.0028904075385,296.3108752973003,296.4284464123936,66985600
2022-05-31,302.05242919921875,305.04080413610114,298.18221125700796,302.82647876787934,60968300
2022-06-01,299.81854248046875,306.3342009038281,297.5944091552211,304.19824591470774,65341700
2022-06-02,308.0292053222656,308.2055619608037,297.27100185506634,298.69172232361495,59291300
2022-06-03,300.01446533203125,304.1981962916638,298.76032380986584,302.7872833415911,60914700
2022-06-06,301.01385498046875,306.0402287182082,299.44617057418714,304.4725443119266,51785000
2022-06-07,303.6103210449219,304.3941782106184,296.5753711764465,297.6727413073281,44900300
2022-06-08,301.4254150390625,305.422982284352,300.57296468941104,302.8069054825926,38342100
2022-06-09,293.3518371582031,302.80689225442296,293.1852880600189,299.7303387066173,55900500
2022-06-10,283.00518798828125,288.9133757730079,282.5544887434817,287.7180195924632,85963500
2022-06-13,269.8464660644531,276.63646645857966,268.9842380967365,274.0987904496969,94442000
2022-06-14,270.33636474609375,273.0308121861445,267.81827396221996,272.0510131170351,64697500
2022-06-15,277.0871276855469,281.0357162093523,271.0221698676865,273.775432392267,86051400
2022-06-16,265.90771484375,270.4833602874766,263.840323017363,270.0228534750471,81910300
2022-06-17,269.1409606933594,271.59045792934603,265.0454084910511,266.68165590008016,82703400
2022-06-21,275.9312744140625,278.25788685548844,273.535996932066,273.6439676154064,51633700
2022-06-22,275.5288391113281,279.95620679287947,272.81938583781556,273.41819777977673,67472900
2022-06-23,279.6322326660156,280.4862915454782,275.1753862607607,278.02225917849216,57457800
2022-06-24,289.2134704589844,289.6356167076287,282.2337221792914,282.4693163954109,58422300
2022-06-27,287.0930480957031,291.14737149998075,285.9542928443564,290.5780088535931,54151500
2022-06-28,278.3462219238281,290.23438080291726,278.1596998806317,287.6329285669773,61609800
2022-06-29,278.6014709472656,280.11327032831275,275.6956992459022,278.2088039538767,57302700
2022-06-30,275.1459655761719,278.73892706471673,270.72839439561915,275.60735754226135,79313600
2022-07-01,276.96209716796875,277.3547641885174,271.9555102698973,273.8403539105333,56675100
2022-07-05,281.7036437988281,281.8214409230139,271.6806723683294,273.2120948998983,61829300
2022-07-06,283.5098876953125,285.62052899011064,280.3586953289731,282.08646607719317,63194700
